,2016,2012,2008,2004,2000,1996,1992,1988,1984,1980,1976
Male,53.8,54.4,55.7,56.3,53.1,52.8,60.2,56.4,59,59.1,59.6
Female,58.1,58.5,60.4,60.1,56.2,55.5,62.3,58.3,60.8,59.4,58.8
