,2016,2012,2008,2004,2000,1996,1992,1988,1984,1980,1976
White ,58.2,57.6,59.6,60.3,56.4,56,63.6,59.1,61.4,60.9,60.9
White non-Hispanic,64.1,63,64.8,65.8,60.4,59.6,66.9,61.8,63.3,62.8,0
Black,55.9,62,60.8,56.3,53.5,50.6,54,51.5,55.8,50.5,48.7
Asian and Pacific Islander,33.9,31.3,32.1,29.8,25.4,25.7,27.3,0,0,0,0
Hispanic (of any race),32.5,31.8,31.6,28,27.5,26.7,28.9,28.8,32.6,29.9,31.8
