,2016,2012,2008,2004,2000,1996,1992,1988,1984,1980,1976
18 to 24 years,39.4,38,44.3,41.9,32.3,32.4,42.8,36.2,40.8,39.9,42.2
25 to 44 years,48.97788504,49.5,51.9,52.2,49.8,49.2,58.3,54,58.4,58.7,58.7
45 to 64 years,61.7,63.4,65,66.6,64.1,64.4,70,67.9,69.8,69.3,68.7
65 years and over,68.42905267,69.7,68.1,68.9,67.6,67,70.1,68.8,67.7,65.1,62.2
